year,electricity_generation,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,fossil_electricity,coal_electricity,gas_electricity,primary_energy_consumption,energy_per_gdp,greenhouse_gas_emissions,aus_energy_imports_pct_use,aus_energy_use_per_capita_kgoe,aus_exports_goods_services_current_usd,aus_gdp_constant_2015_usd,aus_gdp_current_usd,aus_industry_value_added_current_usd,jpn_energy_imports_pct_use,jpn_energy_use_per_capita_kgoe,jpn_exports_goods_services_current_usd,jpn_gdp_constant_2015_usd,jpn_gdp_current_usd,jpn_industry_value_added_current_usd,jpy_per_usd,aud_per_usd,jpy_per_aud,fdi_flow_usd_million,fdi_stock_usd_million
2015,253.99,35.8,14.095,5.955,6.2,11.83,14.09,3.68,218.19,162.2,49.71,1601.626,1.406,185.34,-197.386842232292,5318.66679266228,271152836560.501,1356805839935.9,1356805839935.9,321374521499.154,94.8396264266997,3400.59271053608,775051882733.212,4444930651964.18,4444930651964.18,1270526150555.11,121.044025684011,1.33109026245502,90.93600118504456,5675.713422584584,67459.61504774954
2016,258.23,41.74,16.164,6.785,7.44,13.04,17.63,3.63,216.49,162.36,48.11,1606.889,1.373,184.25,-206.230251314561,5216.98867184459,232663011512.861,1394194533274.64,1211588128417.61,270341862672.591,93.813281550921,3370.8877963853,803489014102.661,4478437728050.46,5003677627544.24,1432550285293.51,108.792900046834,1.34521397601947,80.87404828245658,5574.695586007192,65978.939198796
2017,258.97,39.19,15.133,6.373,8.92,13.21,13.5,3.56,219.78,159.17,55.09,1602.028,1.337,185.96,-213.039219172204,5162.45894302308,281774035049.614,1426167740135.16,1330890554614.09,312066301192.58,93.0886712405363,3391.05041453219,867405253150.188,4553466417290.11,4930837369151.42,1424145454762.54,112.166141081871,1.30475807671592,85.96700268312846,4471.486392180463,69105.38448366622
2018,262.63,49.49,18.844,7.848,12.33,16.26,17.31,3.59,213.14,156.56,51.46,1625.908,1.32,180.8,-221.13514781466,5086.37378454852,312605804111.245,1467158231105.1,1433144978761.67,345507394660.962,91.4437393045403,3343.05412833973,923234601723.625,4582763011478.55,5040880939324.86,1462561583208.71,110.42317934106,1.33841214646451,82.50312105486263,3227.0263095884866,67301.13143655796
2019,265.9,55.26,20.782,8.407,18.3,19.47,14.02,3.47,210.64,149.84,55.71,1680.293,1.338,178.18,-230.540248121,5231.57466031316,336477593836.115,1499347932643.95,1398349602956.35,353160364437.648,90.5590328120186,3261.62024942915,893782209080.495,4564332550096.38,5117993853016.51,1474191290028.78,109.009665900863,1.43850654421382,75.77974972678315,10525.352921977244,72977.46479946862
2020,265.15,64.28,24.243,10.292,23.84,22.61,14.42,3.41,200.87,142.93,53.05,1585.412,1.287,170.31,-237.32858019566,5159.03638381788,319174580744.374,1497345824797.34,1333336461648.09,338705320123.801,89.5796033607393,3046.85480668859,785057625362.297,4374056271824.01,5054068005376.28,1468550816847.01,106.774582262437,1.45308511847016,73.48129913741847,13725.947533314613,89360.26280272912
2021,267.45,77.27,28.891,12.283,31.19,26.8,15.94,3.34,190.18,137.4,47.63,1589.323,1.226,162.05,-232.104772123918,5006.44306522882,343364164705.654,1527396783519.68,1560617493202.69,396955224727.193,88.6817259385197,3196.03970960845,912549013982.719,4492005937826.88,5039148168861.22,1472398483693.84,109.754323839417,1.33122425957081,82.4461566489196,7418.009498068911,83253.92032185545
2022,272.92,87.44,32.039,13.247,37.54,30.05,16.66,3.19,185.48,129.21,50.82,1660.79,1.235,157.71,-234.279345921201,4942.16372202842,431732710875.763,1592357665099.43,1695627535475.8,464635214371.282,89.9707516343257,3129.65861717499,918408424578.807,4534320578755.85,4262463317796.53,1181445604293.09,131.498140443764,1.44166445896522,91.21272264570432,11839.29117413292,89041.5505542228
2023,273.11,95.07,34.81,14.323,44.99,31.87,15.08,3.13,178.04,125.61,46.67,1657.377,,152.04,-214.471540281044,4927.64894813822,463117015978.139,1649424913623.6,1734451264655.6,477265140195.722,87.2798853157027,3039.14126131753,920644083095.705,4601203385713.7,4213167237905.83,1205057828751.26,140.49110006234,1.50519106560509,93.33771856123946,15191.10102414648,100048.73710642855
2024,281.64,98.79,35.077,14.733,50.21,32.74,12.85,2.99,182.85,127.33,49.1,1672.114,,155.98,,4750.15843585384,432605705549.386,1672078242948.22,1757022451652.83,448580693125.779,,3005.89902824379,917043674686.877,4606002855955.13,4027597523550.58,,151.366291302752,1.51535803855596,99.88813696266423,15064.6041725532,104193.246587827
